freq,voltage,phase
1.00000000000000e+02,-6.21002268000204e-01,-2.14086937405093e+01
1.00173004138274e+02,-6.23005701003000e-01,-2.14423715013582e+01
1.00346307580866e+02,-6.25015143470430e-01,-2.14760919437100e+01
1.00519910845586e+02,-6.27030610635989e-01,-2.15098550748786e+01
1.00693814451138e+02,-6.29052117755029e-01,-2.15436609019503e+01
1.00868018917124e+02,-6.31079680104674e-01,-2.15775094317828e+01
1.01042524764045e+02,-6.33113312983780e-01,-2.16114006710041e+01
1.01217332513303e+02,-6.35153031712835e-01,-2.16453346260115e+01
1.01392442687202e+02,-6.37198851633886e-01,-2.16793113029708e+01
1.01567855808947e+02,-6.39250788110484e-01,-2.17133307078156e+01
1.01743572402653e+02,-6.41308856527582e-01,-2.17473928462457e+01
1.01919592993337e+02,-6.43373072291479e-01,-2.17814977237268e+01
1.02095918106927e+02,-6.45443450829735e-01,-2.18156453454894e+01
1.02272548270261e+02,-6.47520007591086e-01,-2.18498357165276e+01
1.02449484011086e+02,-6.49602758045385e-01,-2.18840688415984e+01
1.02626725858066e+02,-6.51691717683501e-01,-2.19183447252207e+01
1.02804274340775e+02,-6.53786902017248e-01,-2.19526633716743e+01
1.02982129989707e+02,-6.55888326579307e-01,-2.19870247849993e+01
1.03160293336271e+02,-6.57996006923136e-01,-2.20214289689944e+01
1.03338764912798e+02,-6.60109958622897e-01,-2.20558759272169e+01
1.03517545252539e+02,-6.62230197273365e-01,-2.20903656629811e+01
1.03696634889665e+02,-6.64356738489850e-01,-2.21248981793575e+01
1.03876034359275e+02,-6.66489597908098e-01,-2.21594734791720e+01
1.04055744197391e+02,-6.68628791184231e-01,-2.21940915650049e+01
1.04235764940964e+02,-6.70774333994636e-01,-2.22287524391899e+01
1.04416097127873e+02,-6.72926242035886e-01,-2.22634561038131e+01
1.04596741296928e+02,-6.75084531024656e-01,-2.22982025607125e+01
1.04777697987871e+02,-6.77249216697631e-01,-2.23329918114762e+01
1.04958967741378e+02,-6.79420314811414e-01,-2.23678238574424e+01
1.05140551099060e+02,-6.81597841142439e-01,-2.24026986996980e+01
1.05322448603466e+02,-6.83781811486881e-01,-2.24376163390773e+01
1.05504660798081e+02,-6.85972241660550e-01,-2.24725767761621e+01
1.05687188227333e+02,-6.88169147498826e-01,-2.25075800112795e+01
1.05870031436592e+02,-6.90372544856535e-01,-2.25426260445020e+01
1.06053190972169e+02,-6.92582449607876e-01,-2.25777148756460e+01
1.06236667381322e+02,-6.94798877646311e-01,-2.26128465042710e+01
1.06420461212256e+02,-6.97021844884477e-01,-2.26480209296787e+01
1.06604573014123e+02,-6.99251367254093e-01,-2.26832381509120e+01
1.06789003337026e+02,-7.01487460705850e-01,-2.27184981667542e+01
1.06973752732021e+02,-7.03730141209321e-01,-2.27538009757278e+01
1.07158821751114e+02,-7.05979424752864e-01,-2.27891465760939e+01
1.07344210947269e+02,-7.08235327343508e-01,-2.28245349658509e+01
