freq,voltage,phase
1.62181009735891e+04,-9.01979875706926e-02,-8.46775245561581e+00
1.62554875575047e+04,-9.05770528562071e-02,-8.48704338741163e+00
1.62929603263970e+04,-9.09578348811767e-02,-8.50637722440232e+00
1.63305194789432e+04,-9.13403412706510e-02,-8.52575405492122e+00
1.63681652142779e+04,-9.17245796822162e-02,-8.54517396743509e+00
1.64058977319952e+04,-9.21105578060519e-02,-8.56463705054401e+00
1.64437172321491e+04,-9.24982833651368e-02,-8.58414339298121e+00
1.64816239152549e+04,-9.28877641152965e-02,-8.60369308361295e+00
1.65196179822900e+04,-9.32790078454052e-02,-8.62328621143829e+00
1.65576996346951e+04,-9.36720223774769e-02,-8.64292286558901e+00
1.65958690743754e+04,-9.40668155667751e-02,-8.66260313532945e+00
1.66341265037015e+04,-9.44633953019820e-02,-8.68232711005628e+00
1.66724721255104e+04,-9.48617695052936e-02,-8.70209487929841e+00
1.67109061431069e+04,-9.52619461325840e-02,-8.72190653271676e+00
1.67494287602642e+04,-9.56639331734889e-02,-8.74176216010414e+00
1.67880401812254e+04,-9.60677386515819e-02,-8.76166185138502e+00
1.68267406107045e+04,-9.64733706244743e-02,-8.78160569661542e+00
1.68655302538872e+04,-9.68808371839570e-02,-8.80159378598264e+00
1.69044093164324e+04,-9.72901464561221e-02,-8.82162620980516e+00
1.69433780044731e+04,-9.77013066015373e-02,-8.84170305853238e+00
1.69824365246172e+04,-9.81143258152962e-02,-8.86182442274449e+00
1.70215850839493e+04,-9.85292123272139e-02,-8.88199039315224e+00
1.70608238900310e+04,-9.89459744019730e-02,-8.90220106059671e+00
1.71001531509027e+04,-9.93646203391760e-02,-8.92245651604918e+00
1.71395730750840e+04,-9.97851584735722e-02,-8.94275685061086e+00
1.71790838715757e+04,-1.00207597175132e-01,-8.96310215551273e+00
1.72186857498599e+04,-1.00631944849199e-01,-8.98349252211527e+00
1.72583789199018e+04,-1.01058209936611e-01,-9.00392804190831e+00
1.72981635921508e+04,-1.01486400913876e-01,-9.02440880651075e+00
1.73380399775412e+04,-1.01916526293254e-01,-9.04493490767035e+00
1.73780082874935e+04,-1.02348594622934e-01,-9.06550643726355e+00
1.74180687339159e+04,-1.02782614487134e-01,-9.08612348729517e+00
1.74582215292048e+04,-1.03218594506271e-01,-9.10678614989822e+00
1.74984668862463e+04,-1.03656543337094e-01,-9.12749451733363e+00
1.75388050184174e+04,-1.04096469672781e-01,-9.14824868199005e+00
1.75792361395867e+04,-1.04538382243139e-01,-9.16904873638354e+00
1.76197604641161e+04,-1.04982289814687e-01,-9.18989477315740e+00
1.76603782068614e+04,-1.05428201190827e-01,-9.21078688508184e+00
1.77010895831740e+04,-1.05876125211967e-01,-9.23172516505378e+00
1.77418948089014e+04,-1.06326070755664e-01,-9.25270970609653e+00
